,loss
0,0.4299194812774658
1,0.34220021963119507
2,0.367193341255188
3,0.37427282333374023
4,0.34422361850738525
5,0.3549925684928894
6,0.35374149680137634
7,0.3430930972099304
8,0.32369664311408997
9,0.35094571113586426
10,0.29383403062820435
11,0.28204986453056335
12,0.2983020544052124
13,0.23679877817630768
14,0.22745853662490845
15,0.21099933981895447
16,0.21538223326206207
17,0.19688785076141357
18,0.18570727109909058
19,0.18712785840034485
20,0.1974259614944458
21,0.19577212631702423
22,0.18877051770687103
23,0.1983300745487213
24,0.18383093178272247
25,0.18724535405635834
26,0.19503816962242126
27,0.1896795630455017
28,0.16789036989212036
29,0.19923898577690125
30,0.1885947287082672
31,0.17943254113197327
32,0.17181885242462158
33,0.17440247535705566
34,0.1914658099412918
35,0.19587911665439606
36,0.22266530990600586
37,0.16741244494915009
38,0.1790512502193451
39,0.19212910532951355
40,0.1699797511100769
41,0.18603681027889252
42,0.16054128110408783
43,0.17092114686965942
44,0.186371311545372
45,0.17006126046180725
46,0.19611436128616333
47,0.2040366232395172
48,0.2222396284341812
49,0.2018759846687317
50,0.17741930484771729
51,0.182383194565773
52,0.1896449774503708
53,0.19100993871688843
54,0.17148494720458984
55,0.16555684804916382
56,0.1797081083059311
57,0.20495687425136566
58,0.17493167519569397
59,0.19002275168895721
60,0.16040152311325073
61,0.19232454895973206
62,0.17078660428524017
63,0.1692287027835846
64,0.1924637258052826
65,0.17466500401496887
66,0.180332750082016
67,0.16049307584762573
68,0.17340700328350067
69,0.16879677772521973
70,0.1837976574897766
71,0.17183157801628113
72,0.18562987446784973
73,0.1924399733543396
74,0.1782374233007431
75,0.20388086140155792
76,0.20576339960098267
77,0.19516664743423462
78,0.16063857078552246
79,0.17815810441970825
80,0.15646958351135254
81,0.18998295068740845
82,0.1804489940404892
83,0.20999249815940857
84,0.17159870266914368
85,0.20124797523021698
86,0.21069979667663574
87,0.17734771966934204
88,0.17369037866592407
89,0.18077653646469116
90,0.16948069632053375
91,0.17521941661834717
92,0.18096262216567993
93,0.18259775638580322
94,0.14972928166389465
95,0.1653122901916504
96,0.16634994745254517
97,0.17818772792816162
98,0.17500358819961548
99,0.1709938496351242
100,0.16215237975120544
101,0.1916602998971939
102,0.15739747881889343
103,0.16918456554412842
104,0.1783115565776825
105,0.17578400671482086
106,0.16009557247161865
107,0.18228885531425476
